,年月,total
0,200007,5.0
1,200008,0.0
2,200009,232.5
3,200010,0.0
4,200011,1069.5
5,200012,143.5
6,200101,39.0
7,200102,21.5
8,200103,115.0
9,200104,-7189.0
10,200105,3030.0
11,200106,57.0
12,200107,0.0
13,200108,0.0
14,200109,0.0
15,200110,0.0
16,200111,0.0
17,200112,0.0
18,200202,0.0
19,200203,0.0
20,200204,0.0
21,200205,0.0
22,200206,0.0
23,200207,0.0
24,200208,0.0
25,200209,0.0
26,200210,0.0
27,200211,0.0
28,200212,0.0
29,200301,0.0
30,200302,0.0
31,200303,0.0
32,200304,0.0
33,200305,0.0
34,200306,0.0
35,200307,0.0
36,200308,0.0
37,200309,0.0
38,200310,0.0
39,200311,0.0
40,200312,0.0
41,200401,0.0
42,200402,0.0
43,200403,0.0
44,200404,0.0
45,200405,0.0
46,200406,0.0
47,200407,0.0
48,200408,0.0
49,200409,0.0
50,200410,0.0
51,200411,0.0
52,200412,0.0
53,200501,0.0
54,200502,0.0
55,200503,0.0
56,200504,0.0
57,200505,0.0
58,200506,0.0
59,200507,0.0
60,200508,0.0
61,200509,0.0
62,200510,0.0
63,200511,0.0
64,200512,0.0
65,200601,0.0
66,200602,0.0
67,200603,0.0
68,200604,0.0
69,200605,0.0
70,200606,0.0
71,200607,0.0
72,200608,0.0
73,200609,0.0
74,200610,0.0
75,200611,0.0
76,200612,0.0
77,200701,3322.2
78,200702,1704.1
79,200703,6459.4
80,200704,5243.9
81,200705,2713.6
82,200706,19512.2
83,200707,3755.9
84,200708,14218.2
85,200709,12084.0
86,200710,10668.1
87,200711,6517.9
88,200712,848.8
89,200801,2875.5
90,200802,4349.5
91,200803,3046.4
92,200804,3439.9
93,200805,7265.4
94,200806,8525.6
95,200807,6610.4
96,200808,3938.2
97,200809,32238.3
98,200810,3242.6
99,200811,5756.1
100,200812,1137.1
101,200901,1716.6
102,200902,1305.3
103,200903,4642.8
104,200904,2620.0
105,200905,746.0
106,200906,8479.7
107,200907,2687.0
108,200908,8966.1
109,200909,7361.6
110,200910,7950.4
111,200911,2390.5
112,200912,1688.8
113,201001,2941.0
114,201002,6092.0
115,201003,2540.0
116,201004,3665.0
117,201005,5034.0
118,201006,11453.5
119,201007,2219.0
120,201008,10901.0
121,201009,6761.0
122,201010,13243.5
123,201011,2243.0
124,201012,2220.5
125,201101,2388.5
126,201102,1693.0
127,201103,2805.0
128,201104,550.0
129,201105,6659.5
130,201106,8010.0
131,201107,3198.0
132,201108,4644.0
133,201109,1644.5
134,201110,5330.5
135,201111,6974.5
136,201112,4531.0
137,201201,4077.0
138,201202,7114.0
139,201203,2199.0
140,201204,9310.5
141,201205,7335.5
142,201206,15790.0
143,201207,4208.5
144,201208,16712.0
145,201209,3969.0
146,201210,1952.0
147,201211,6858.5
148,201212,5512.5
149,201301,2513.0
150,201302,1316.5
151,201303,1589.5
152,201304,7700.0
153,201305,12156.0
154,201306,4378.5
155,201307,6159.5
156,201308,19676.0
157,201309,6986.5
158,201310,4991.0
159,201311,1831.5
160,201312,6121.0
161,201401,695.0
162,201402,5716.5
163,201403,3855.0
164,201404,2848.5
165,201405,17822.5
166,201406,10799.0
167,201407,6218.0
168,201408,3688.5
169,201409,4936.0
170,201410,2427.5
171,201411,2293.5
172,201412,2551.0
173,201501,820.0
174,201502,2045.5
175,201503,5212.0
176,201504,2525.5
177,201505,8979.5
178,201506,4548.0
179,201507,7427.5
180,201508,15485.5
181,201509,9219.5
182,201510,3346.0
183,201511,802.0
184,201512,1533.5
185,201601,6519.5
186,201602,2277.5
187,201603,7175.5
188,201604,462.5
189,201605,171.5
190,201606,64.5
191,201607,21.0
192,201608,3.0
193,201609,323.0
194,201610,252.0
195,201611,121.5
196,201612,33.5
197,201701,34.5
198,201702,108.0
199,201703,139.0
200,201704,2207.5
201,201705,4761.0
202,201706,21979.0
203,201707,5308.0
204,201708,1794.5
205,201709,5585.0
206,201710,13964.0
207,201711,4246.5
208,201712,2598.0
209,201801,7785.5
210,201802,4238.0
211,201803,818.5
212,201804,2218.5
213,201805,1350.0
214,201806,2760.0
215,201807,5915.5
216,201808,6903.0
217,201809,11565.5
218,201810,4493.0
219,201811,2090.5
220,201812,3103.0
221,201901,1849.0
222,201902,2018.5
223,201903,5312.0
224,201904,3706.0
225,201905,10368.0
226,201906,12438.5
227,201907,10576.5
228,201908,7508.0
229,201909,18007.0
230,201910,1382.0
231,201911,1872.5
232,201912,4938.0
233,202001,1114.0
234,202002,1124.0
235,202003,6388.5
236,202004,2201.5
237,202005,12633.5
238,202006,3931.5
239,202007,5292.0
240,202008,12580.5
241,202009,5567.5
242,202010,3255.5
243,202011,2478.0
244,202012,8035.0
245,202101,2390.5
246,202102,2624.0
247,202103,2848.5
248,202104,1882.5
249,202105,6355.5
250,202106,11754.5
251,202107,13592.5
252,202108,11988.0
253,202109,6084.0
254,202110,9167.0
255,202111,2919.0
256,202112,3188.0
257,202201,4431.5
258,202202,9237.0
259,202203,6623.0
260,202204,3416.5
261,202205,17779.0
262,202206,8411.0
263,202207,4769.5
264,202208,3444.5
265,202209,12969.0
266,202210,20835.0
267,202211,5193.0
268,202212,4456.0
269,202301,1321.5
270,202302,2081.0
271,202303,1014.5
272,202304,3956.5
273,202305,7463.5
274,202306,12086.5
