TOWN,STATIONID,NAME,X坐標,Y坐標
北投區,'001',湖田國小,304329.0934,2784567.876
北投區,'002',大屯國小,300824.3981,2783058.166
北投區,'003',桃源國中,298099.7731,2780772.825
北投區,'004',北投國小,300310.9758,2780712.874
士林區,'005',陽明高中,302113.4143,2776192.07
大同區,'006',太平國小,301640.7067,2772675.897
松山區,'007',民生國中,307095.9476,2772558.782
中正區,'008',中正國中,302669.2588,2769453.013
信義區,'009',三興國小,306344.4974,2769160.226
士林區,'010',格致國中,305024.574,2780464.02
士林區,'011',平等國小,308139.6134,2780220.369
士林區,'012',至善國中,306073.9305,2777381.074
內湖區,'013',碧湖國小,309675.1415,2775306.891
內湖區,'014',東湖國小,312200.6953,2773597.84
南港區,'015',留公國中,309089.2186,2770012.989
南港區,'016',舊莊國小,312534.1114,2770344.158
信義區,'017',市政中心,306966.1802,2770018.626
文山區,'018',博嘉國小,308111.9706,2766164.714
文山區,'019',北政國中,308318.4053,2764193.1
中山區,'020',長安國小,303562.3211,2771329.941
文山區,'021',富德公墓,308551.59,2767202.018
萬華區,'022',萬華國中,300328.018,2769096.619
文山區,'025',永建國小,306058.8528,2764648.473
中山區,'050',五常國小,304701.2025,2772976.107
內湖區,'051',潭美國小,308640.8469,2772438.185
南港區,'053',南港高工,311344.314,2772118.094
大安區,'054',仁愛國小,305700.155,2769904.683
文山區,'055',興華國小,306462.6362,2765904.458
大安區,'056',台灣大學(新),304393.7417,2767487.487
士林區,'401',望星橋,304727.2334,2776637.477
內湖區,'402',白馬山莊,312870.8001,2774470.369
北投區,'403',中和橋,300603.8926,2781247.98
北投區,'404',磺溪橋,302887.217,2779023.5
南港區,'405',宜興橋,312638.3118,2770493.448
士林區,'41',雙溪,307445.3954,2778510.808
文山區,'06',埤腹,305066.2711,2764396.923
萬華區,'09',雙園,299336.8446,2769225.965
士林區,'14',中洲,297885.2074,2777552.285
南港區,'15',玉成,308774.0939,2771705.398
中山區,'22',建國,303360.3228,2773901.493
士林區,'31',福德,303354.8676,2776930.049
北投區,'35',奇岩,300754.1787,2779610.485
